# layer class subject_idx subject_id channel_idx channel_name value
conv2 Class3 5 7 27 C5 3.69901758e+04
conv2 Class3 6 41 27 C5 2.50405918e+04
conv2 Class3 7 49 27 C5 1.20438945e+04
conv2 Class3 8 3 27 C5 2.93839688e+04
conv2 Class3 9 8 27 C5 2.66796055e+04

conv2 Class3 0 13 28 C3 3.01967617e+04
conv2 Class3 1 50 28 C3 1.36962451e+04
conv2 Class3 2 12 28 C3 2.61925723e+04
conv2 Class3 3 9 28 C3 2.65032988e+04
conv2 Class3 4 40 28 C3 4.46800547e+04
conv2 Class3 5 7 28 C3 3.77647891e+04
conv2 Class3 6 41 28 C3 2.56403770e+04
conv2 Class3 7 49 28 C3 1.26873828e+04
conv2 Class3 8 3 28 C3 2.99302070e+04
conv2 Class3 9 8 28 C3 2.72235020e+04

conv2 Class3 0 13 29 C1 2.98069492e+04
conv2 Class3 1 50 29 C1 1.35008232e+04
conv2 Class3 2 12 29 C1 2.59381562e+04
conv2 Class3 3 9 29 C1 2.63309922e+04
conv2 Class3 4 40 29 C1 4.43500312e+04
conv2 Class3 5 7 29 C1 3.73773672e+04
conv2 Class3 6 41 29 C1 2.51226016e+04
conv2 Class3 7 49 29 C1 1.25074912e+04
conv2 Class3 8 3 29 C1 2.96817930e+04
conv2 Class3 9 8 29 C1 2.69746777e+04

conv2 Class3 0 13 30 Cz 2.97883379e+04
conv2 Class3 1 50 30 Cz 1.35149453e+04
conv2 Class3 2 12 30 Cz 2.60535410e+04
conv2 Class3 3 9 30 Cz 2.65335000e+04
conv2 Class3 4 40 30 Cz 4.44627695e+04
conv2 Class3 5 7 30 Cz 3.75665117e+04
conv2 Class3 6 41 30 Cz 2.52785000e+04
conv2 Class3 7 49 30 Cz 1.22925850e+04
conv2 Class3 8 3 30 Cz 2.99279707e+04
conv2 Class3 9 8 30 Cz 2.70264434e+04

conv2 Class3 0 13 31 C2 2.98592363e+04
conv2 Class3 1 50 31 C2 1.35234863e+04
conv2 Class3 2 12 31 C2 2.59058223e+04
conv2 Class3 3 9 31 C2 2.65311738e+04
conv2 Class3 4 40 31 C2 4.42975117e+04
conv2 Class3 5 7 31 C2 3.77145195e+04
conv2 Class3 6 41 31 C2 2.53734805e+04
conv2 Class3 7 49 31 C2 1.20296904e+04
conv2 Class3 8 3 31 C2 2.99922500e+04
conv2 Class3 9 8 31 C2 2.69216309e+04

conv2 Class3 0 13 32 C4 2.98276855e+04
conv2 Class3 1 50 32 C4 1.35794229e+04
conv2 Class3 2 12 32 C4 2.59297070e+04
conv2 Class3 3 9 32 C4 2.66854492e+04
conv2 Class3 4 40 32 C4 4.42647227e+04
conv2 Class3 5 7 32 C4 3.78437344e+04
conv2 Class3 6 41 32 C4 2.56012734e+04
conv2 Class3 7 49 32 C4 1.20103135e+04
conv2 Class3 8 3 32 C4 3.01482461e+04
conv2 Class3 9 8 32 C4 2.68744609e+04

conv2 Class3 0 13 33 C6 2.89585996e+04
conv2 Class3 1 50 33 C6 1.32400771e+04
conv2 Class3 2 12 33 C6 2.52608828e+04
conv2 Class3 3 9 33 C6 2.59509121e+04
conv2 Class3 4 40 33 C6 4.30995391e+04
conv2 Class3 5 7 33 C6 3.69716836e+04
conv2 Class3 6 41 33 C6 2.48713496e+04
conv2 Class3 7 49 33 C6 1.16083252e+04
conv2 Class3 8 3 33 C6 2.93873672e+04
conv2 Class3 9 8 33 C6 2.66022891e+04

conv2 Class3 0 13 34 T8 3.20457324e+04
conv2 Class3 1 50 34 T8 1.48690830e+04
conv2 Class3 2 12 34 T8 2.73659355e+04
conv2 Class3 3 9 34 T8 2.84353105e+04
conv2 Class3 4 40 34 T8 4.63661133e+04
conv2 Class3 5 7 34 T8 3.95995352e+04
conv2 Class3 6 41 34 T8 2.76166914e+04
conv2 Class3 7 49 34 T8 1.33032568e+04
conv2 Class3 8 3 34 T8 3.20831641e+04
conv2 Class3 9 8 34 T8 2.83409941e+04

conv2 Class3 0 13 35 TP7 3.21537109e+04
conv2 Class3 1 50 35 TP7 1.45338984e+04
conv2 Class3 2 12 35 TP7 2.77522734e+04
conv2 Class3 3 9 35 TP7 2.83637598e+04
conv2 Class3 4 40 35 TP7 4.82859961e+04
conv2 Class3 5 7 35 TP7 4.04807266e+04
conv2 Class3 6 41 35 TP7 2.76550078e+04
conv2 Class3 7 49 35 TP7 1.31525908e+04
conv2 Class3 8 3 35 TP7 3.13353262e+04
conv2 Class3 9 8 35 TP7 2.89537676e+04

conv2 Class3 0 13 36 CP5 2.92968633e+04
conv2 Class3 1 50 36 CP5 1.33420723e+04
conv2 Class3 2 12 36 CP5 2.58452051e+04
conv2 Class3 3 9 36 CP5 2.59944043e+04
conv2 Class3 4 40 36 CP5 4.36161953e+04
conv2 Class3 5 7 36 CP5 3.72655156e+04
conv2 Class3 6 41 36 CP5 2.51460469e+04
conv2 Class3 7 49 36 CP5 1.20767959e+04
conv2 Class3 8 3 36 CP5 2.94516836e+04
conv2 Class3 9 8 36 CP5 2.66236738e+04

conv2 Class3 0 13 37 CP3 2.97662793e+04
conv2 Class3 1 50 37 CP3 1.35497578e+04
conv2 Class3 2 12 37 CP3 2.62609746e+04
conv2 Class3 3 9 37 CP3 2.63186328e+04
conv2 Class3 4 40 37 CP3 4.43693203e+04
conv2 Class3 5 7 37 CP3 3.78721914e+04
conv2 Class3 6 41 37 CP3 2.58699668e+04
conv2 Class3 7 49 37 CP3 1.24720400e+04
conv2 Class3 8 3 37 CP3 2.97418066e+04
conv2 Class3 9 8 37 CP3 2.70778711e+04

conv2 Class3 0 13 38 CP1 2.94058359e+04
conv2 Class3 1 50 38 CP1 1.33319824e+04
conv2 Class3 2 12 38 CP1 2.60514922e+04
conv2 Class3 3 9 38 CP1 2.59730645e+04
conv2 Class3 4 40 38 CP1 4.38505625e+04
conv2 Class3 5 7 38 CP1 3.75112266e+04
conv2 Class3 6 41 38 CP1 2.53234902e+04
conv2 Class3 7 49 38 CP1 1.21671006e+04
conv2 Class3 8 3 38 CP1 2.94788359e+04
conv2 Class3 9 8 38 CP1 2.69277949e+04

conv2 Class3 0 13 39 CPz 2.97557012e+04
conv2 Class3 1 50 39 CPz 1.35727568e+04
conv2 Class3 2 12 39 CPz 2.66757988e+04
conv2 Class3 3 9 39 CPz 2.64689844e+04
conv2 Class3 4 40 39 CPz 4.48163555e+04
conv2 Class3 5 7 39 CPz 3.82767969e+04
conv2 Class3 6 41 39 CPz 2.57304160e+04
conv2 Class3 7 49 39 CPz 1.22381689e+04
conv2 Class3 8 3 39 CPz 2.96855234e+04
conv2 Class3 9 8 39 CPz 2.76633750e+04

conv2 Class3 0 13 40 CP2 2.95771328e+04
conv2 Class3 1 50 40 CP2 1.34407598e+04
conv2 Class3 2 12 40 CP2 2.59874336e+04
conv2 Class3 3 9 40 CP2 2.63372109e+04
conv2 Class3 4 40 40 CP2 4.41718906e+04
conv2 Class3 5 7 40 CP2 3.76959414e+04
conv2 Class3 6 41 40 CP2 2.53013359e+04
conv2 Class3 7 49 40 CP2 1.19440625e+04
conv2 Class3 8 3 40 CP2 2.95158965e+04
conv2 Class3 9 8 40 CP2 2.71387578e+04

conv2 Class3 0 13 41 CP4 2.94315664e+04
conv2 Class3 1 50 41 CP4 1.35580020e+04
conv2 Class3 2 12 41 CP4 2.63179922e+04
conv2 Class3 3 9 41 CP4 2.63354160e+04
conv2 Class3 4 40 41 CP4 4.41000234e+04
conv2 Class3 5 7 41 CP4 3.75689648e+04
conv2 Class3 6 41 41 CP4 2.54653359e+04
conv2 Class3 7 49 41 CP4 1.21592021e+04
conv2 Class3 8 3 41 CP4 2.96082988e+04
conv2 Class3 9 8 41 CP4 2.72629688e+04

conv2 Class3 0 13 42 CP6 2.89415312e+04
conv2 Class3 1 50 42 CP6 1.32969131e+04
conv2 Class3 2 12 42 CP6 2.55103477e+04
conv2 Class3 3 9 42 CP6 2.60262031e+04
conv2 Class3 4 40 42 CP6 4.32892773e+04
conv2 Class3 5 7 42 CP6 3.70379727e+04
conv2 Class3 6 41 42 CP6 2.49917461e+04
conv2 Class3 7 49 42 CP6 1.19991816e+04
conv2 Class3 8 3 42 CP6 2.93788145e+04
conv2 Class3 9 8 42 CP6 2.70695703e+04

conv2 Class3 0 13 43 TP8 3.17388945e+04
conv2 Class3 1 50 43 TP8 1.48483477e+04
conv2 Class3 2 12 43 TP8 2.85830645e+04
conv2 Class3 3 9 43 TP8 2.68689668e+04
conv2 Class3 4 40 43 TP8 4.49953008e+04
conv2 Class3 5 7 43 TP8 3.89937695e+04
conv2 Class3 6 41 43 TP8 2.72692598e+04
conv2 Class3 7 49 43 TP8 1.34312402e+04
conv2 Class3 8 3 43 TP8 3.04656211e+04
conv2 Class3 9 8 43 TP8 2.87350957e+04

conv2 Class3 0 13 44 P9 3.20883438e+04
conv2 Class3 1 50 44 P9 1.43630098e+04
conv2 Class3 2 12 44 P9 2.78025938e+04
conv2 Class3 3 9 44 P9 2.79607227e+04
conv2 Class3 4 40 44 P9 4.75253711e+04
conv2 Class3 5 7 44 P9 3.99585000e+04
conv2 Class3 6 41 44 P9 2.71818086e+04
conv2 Class3 7 49 44 P9 1.35064248e+04
conv2 Class3 8 3 44 P9 3.10597637e+04
conv2 Class3 9 8 44 P9 2.86237051e+04

conv2 Class3 0 13 45 P7 2.90298145e+04
conv2 Class3 1 50 45 P7 1.32324033e+04
conv2 Class3 2 12 45 P7 2.56634824e+04
conv2 Class3 3 9 45 P7 2.57412305e+04
conv2 Class3 4 40 45 P7 4.33345156e+04
conv2 Class3 5 7 45 P7 3.70432422e+04
conv2 Class3 6 41 45 P7 2.48449805e+04
conv2 Class3 7 49 45 P7 1.18789111e+04
conv2 Class3 8 3 45 P7 2.94784648e+04
conv2 Class3 9 8 45 P7 2.66456504e+04

conv2 Class3 0 13 46 P5 2.89156113e+04
conv2 Class3 1 50 46 P5 1.32085889e+04
conv2 Class3 2 12 46 P5 2.56306328e+04
conv2 Class3 3 9 46 P5 2.58739414e+04
conv2 Class3 4 40 46 P5 4.33744844e+04
conv2 Class3 5 7 46 P5 3.71288398e+04
conv2 Class3 6 41 46 P5 2.50290352e+04
conv2 Class3 7 49 46 P5 1.18789736e+04
conv2 Class3 8 3 46 P5 2.93362949e+04
conv2 Class3 9 8 46 P5 2.67030098e+04

conv2 Class3 0 13 47 P3 2.89716055e+04
conv2 Class3 1 50 47 P3 1.33269219e+04
conv2 Class3 2 12 47 P3 2.57031133e+04
conv2 Class3 3 9 47 P3 2.60233262e+04
