tsne_1 tsne_2 label subject_code visual_run_index
-23.13751602 38.92780304 0 17 465
-25.56060028 38.61020660 0 17 466
-27.39937973 37.21067810 0 17 467
-29.08330345 34.84270096 0 17 468
-28.40394974 32.54227829 0 17 469
-26.21653938 30.99031639 0 17 470
-23.60995102 29.87019920 0 17 471
-21.21804047 31.47404099 0 17 472
-19.10579872 34.36825943 0 17 473
-20.08630943 37.19042587 0 17 474
-22.49780846 38.74094391 0 17 475
-24.58485794 38.74938583 0 17 476
-26.39781189 38.24264908 0 17 477
-27.83577347 36.57276535 0 17 478
-29.16293907 33.89768219 0 17 479
-26.30467606 31.10502434 0 17 480
-21.78620338 30.98194313 0 17 481
-19.93480301 36.58132172 0 17 482
-25.83298302 39.02812576 0 17 483
-28.38837624 32.96088791 0 17 484
-22.92860794 29.98127556 0 17 485
-19.35396957 35.44097137 0 17 486
-24.32481384 39.53237152 0 17 487
-28.74955177 34.58812714 0 17 488
-24.51868629 30.26959610 0 17 489
-19.68467903 34.30913544 0 17 490
-23.85774231 39.49160004 0 17 491
-28.28950500 34.18879700 0 17 492
-23.35411644 30.39216423 0 17 493
-19.38084221 36.10448074 0 17 494
-25.94175911 39.21313095 0 17 495
-27.59911728 32.39412308 0 17 496
-21.65924263 31.12849045 0 17 497
-20.69511986 37.37760162 0 17 498
-27.11443710 37.68074036 0 17 499
-26.01858711 31.00240326 0 17 500
-19.94598198 33.50973892 0 17 501
-23.44379807 39.34996033 0 17 502
-28.37316895 34.56685257 0 17 503
-23.66573524 30.23189735 0 17 504
-19.52196312 35.46278763 0 17 505
-24.82387543 39.28597641 0 17 506
-28.43029022 33.89804459 0 17 507
-23.80369949 30.22500038 0 17 508
-19.48924446 34.60936737 0 17 509
-23.52049255 39.28710175 0 17 510
-28.29167557 35.14684677 0 17 511
-25.23834801 30.61759186 0 17 512
-20.10859108 33.17196274 0 17 513
-21.66280365 38.21639633 0 17 514
-27.09643555 37.65648270 0 17 515
-26.97663498 31.70799255 0 17 516
-21.78614616 31.01633263 0 17 517
-20.01032829 36.74061584 0 17 518
-25.69679070 38.97031403 0 17 519
