tsne_1 tsne_2 label subject_code visual_run_index
18.45996475 8.46347618 0 2 159
4.31408787 6.53344393 0 2 160
18.58346367 -3.98602867 0 2 161
31.00405884 -8.30576897 0 2 162
21.92476654 -6.44683170 0 2 163
17.13964653 6.85150576 0 2 164
12.92809486 9.46089172 0 2 165
30.93294525 -0.58079481 0 2 166
17.81387901 6.88368034 0 2 167
16.94208145 3.21751380 0 2 168
20.42184067 2.65624690 0 2 169
32.80077744 -1.74191940 0 2 170
28.99973869 5.72833920 0 3 171
17.17593193 -5.35829353 0 3 172
21.18132591 3.72461295 0 3 173
25.10387802 8.01362133 0 3 174
50.55197906 1.07814240 0 3 175
31.42028427 6.68403721 0 3 176
37.53242493 -1.51130009 0 3 177
39.84856033 5.42203331 0 3 178
33.12054825 -5.78543520 0 3 179
32.68124008 -6.56708241 0 3 180
32.24201965 -2.56099176 0 3 181
30.93560028 9.52926064 0 3 182
33.98099518 5.87668848 0 3 183
28.95124054 -6.24752474 0 3 184
30.11940193 -7.48842955 0 3 185
15.31557369 7.97695827 0 3 186
30.43980408 7.90855837 0 3 187
40.13584900 4.73119211 0 3 188
20.62281990 3.23994160 0 3 189
32.00971985 3.89181447 0 3 190
18.63790131 5.41760063 0 3 191
26.09619713 -8.49475193 0 3 192
36.48792267 4.46358681 0 3 193
27.43793297 8.00125885 0 3 194
26.07519531 4.56951189 0 3 195
28.17823982 3.53195024 0 3 196
32.07298279 8.27032375 0 3 197
31.49740982 5.28592777 0 3 198
31.85472107 -4.77282715 0 3 199
23.66268730 -5.31120872 0 3 200
25.08024406 -9.33756256 0 3 201
26.61670876 -6.36467981 0 3 202
24.25803947 -3.02128530 0 3 203
33.31640244 -3.20166802 0 3 204
39.65156174 1.09844780 0 3 205
17.45262146 10.34855461 0 3 206
9.44990540 -1.84391618 0 3 207
23.71447372 -10.56483746 0 3 208
10.74671936 8.16025925 0 3 209
33.37736511 7.79818153 0 3 210
33.66639709 -6.17081356 0 3 211
31.84210587 -3.18486214 0 3 212
11.05102921 7.63986540 0 3 213
20.72743988 8.34555149 0 3 214
18.58044815 4.79189587 0 3 215
22.71010399 -3.19644380 0 3 216
21.27917862 7.17416620 0 3 217
26.03421593 -8.44246674 0 3 218
36.46401978 4.63355541 0 3 219
24.28032494 -0.83499795 0 3 220
20.22815323 -0.09474076 0 3 221
22.84147263 -3.74445105 0 3 222
24.68423271 -6.44611931 0 3 223
20.65420151 -5.54849339 0 3 224
8.06038475 5.35214186 0 14 225
-5.64238977 11.84180069 0 14 226
-3.49338913 -3.50304914 0 14 227
-3.02166653 1.19990051 0 14 228
1.54828918 0.71220201 0 14 229
-2.84036970 -8.14637947 0 14 230
-21.21779823 -12.35654640 0 14 231
-12.51902866 -3.25458384 0 14 232
-3.54904222 -5.56269503 0 14 233
-14.24308681 -4.50902605 0 14 234
-1.51022089 -1.69199026 0 14 235
4.06582451 1.79637325 0 14 236
-7.07247925 0.90857470 0 14 237
-4.74695873 -1.89802027 0 14 238
2.27488065 5.47139263 0 14 239
-11.14798641 -0.33036578 0 14 240
-24.91918755 -6.32007027 0 14 241
-7.88867521 12.14437008 0 14 242
6.72300720 1.86270332 0 14 243
4.77417850 4.89534378 0 14 244
-1.93470156 -8.30334949 0 14 245
-1.46526515 9.97719574 0 14 246
0.75112510 -0.05002941 0 14 247
-1.69244850 4.03244734 0 14 248
5.05138350 4.63315201 0 14 249
-20.92069244 -12.04479027 0 14 250
-20.35088730 3.28985810 0 14 251
-3.66863990 -3.29544497 0 14 252
3.99684930 -1.05578148 0 14 253
-12.89031887 8.46625805 0 14 254
0.05483799 6.82696724 0 14 255
2.03509736 1.50294197 0 14 256
4.75381613 6.68695736 0 14 257
4.26590157 6.43958759 0 14 258
-4.94704819 -3.24234962 0 14 259
-1.98137963 -4.77200222 0 14 260
2.01176047 -0.58393037 0 14 261
-2.30969191 -6.07853556 0 14 262
-5.08756256 0.55314440 0 14 263
-2.00351739 -0.90628773 0 14 264
-2.09292722 -4.80494595 0 14 265
-12.14953041 2.39355516 0 14 266
-26.57727432 11.84634781 0 14 267
-3.39798903 -12.84972763 0 14 268
6.51926422 -0.57438737 0 14 269
5.03489494 -0.71462351 0 14 270
5.93046808 -1.01222706 0 14 271
14.03083038 -5.58120823 0 14 272
3.71966362 3.62763095 0 14 273
-1.74741280 -0.20456658 0 14 274
5.66863394 -1.26378500 0 14 275
7.35711336 2.32172012 0 14 276
37.73914719 0.80334377 0 15 277
35.53569031 -6.30390024 0 15 278
31.83126831 8.16615582 0 15 279
31.42804337 4.71975231 0 15 280
29.01684952 -2.50706553 0 15 281
29.82104683 5.92288542 0 15 282
28.92562294 -2.78293991 0 15 283
28.21357918 -4.71512270 0 15 284
17.92496872 1.42262673 0 15 285
24.98280144 1.19247770 0 15 286
28.91213417 -2.47616839 0 15 287
15.42471504 -2.27999258 0 15 288
27.80654335 5.25811815 0 15 289
37.20284653 1.13357615 0 15 290
29.63599586 0.31950542 0 15 291
37.23503113 2.25599408 0 15 292
33.42386627 1.29403353 0 15 293
38.24699783 2.69632792 0 15 294
39.90730667 2.99602032 0 15 295
37.50140381 3.11602068 0 15 296
30.10044289 -3.47442961 0 15 297
23.06161308 6.77657747 0 15 298
32.35843658 -5.28389120 0 15 299
34.10168457 0.06525089 0 15 300
27.80990219 -5.05045843 0 15 301
18.93134308 1.00821590 0 15 302
13.56479263 1.02762902 0 15 303
23.94456863 4.79686928 0 15 304
31.62736130 4.47421312 0 15 305
37.28754044 -0.95126158 0 15 306
27.92093658 5.13694096 0 15 307
25.18247795 -4.24165440 0 15 308
16.72606468 -1.16863430 0 15 309
25.57031059 -4.63313389 0 15 310
31.30485725 7.65914917 0 15 311
24.34568977 2.00409579 0 15 312
29.35151672 -9.39337063 0 15 313
31.32344437 -2.38720036 0 15 314
27.31583595 -3.07932043 0 15 315
14.88599586 -3.97817802 0 15 316
23.09258270 -0.16219327 0 15 317
19.18754196 -4.29755259 0 15 318
20.47952271 -2.85693002 0 15 319
19.63686943 5.48312569 0 15 320
23.29895020 -1.89224589 0 15 321
21.52245903 3.93377542 0 15 322
27.39492798 1.79348922 0 15 323
25.96730614 0.13403885 0 15 324
30.23632812 -8.31844807 0 15 325
31.54366493 -1.69871533 0 15 326
32.00265503 0.93216765 0 15 327
34.03772354 1.12225354 0 15 328
36.63121414 2.72504020 0 15 329
30.13015366 3.92364788 0 15 330
40.99665833 0.66344464 0 15 331
37.14282608 6.34050179 0 15 332
27.86290359 0.38222960 0 15 333
31.64248085 0.11834119 0 15 334
19.34697342 9.30835819 0 15 335
20.80180740 0.83407992 0 15 336
30.68008995 0.91358501 0 15 337
36.03570938 1.64529181 0 15 338
30.78589058 0.33638111 0 15 339
33.79168320 1.43440545 0 15 340
39.27423096 3.21681762 0 15 341
34.89602661 1.83340609 0 15 342
34.57654572 1.39292395 0 15 343
38.63539886 2.51679969 0 15 344
40.56842422 3.42909479 0 15 345
37.01121521 2.10424638 0 15 346
27.91625786 -0.08347648 0 15 347
31.56977844 -1.28101504 0 15 348
41.66158676 3.07683849 0 15 349
46.82983017 1.19659066 0 15 350
36.42787170 1.53205824 0 15 351
28.34391022 -0.23704199 0 15 352
18.31404495 1.24196076 0 15 353
37.32066345 3.66666865 0 15 354
41.84792328 -2.64906025 0 15 355
40.87907028 5.72353029 0 15 356
47.08188629 3.31034374 0 15 357
42.72994614 2.83453846 0 15 358
37.35421753 1.99486160 0 15 359
37.49907303 3.99979687 0 15 360
37.54388428 -1.92592371 0 15 361
9.10909557 -4.55086899 0 16 362
3.62392807 1.13110995 0 16 363
4.53414583 -2.38010001 0 16 364
18.41074181 9.07000542 0 16 365
