tsne_1 tsne_2 label subject_code visual_run_index
-10.47628880 7.20246649 0 14 273
-6.32206249 5.74609232 0 14 274
-13.31667900 3.98658180 0 14 275
-9.43516636 9.96234322 0 14 276
-50.35557938 -20.14632225 0 15 277
-38.46618271 10.16876030 0 15 278
-38.53259277 10.72162437 0 15 279
-39.93135834 -2.36562729 0 15 280
-38.62839890 -15.29833984 0 15 281
-39.52205276 -9.91820812 0 15 282
-39.68971634 -1.83347774 0 15 283
-39.08994675 9.85388660 0 15 284
-32.87635803 -7.03092289 0 15 285
-38.27136612 -15.80953979 0 15 286
-37.43075180 -2.22702599 0 15 287
-26.27357101 19.24810600 0 15 288
-41.25004196 7.68347836 0 15 289
-46.04647827 -19.55523682 0 15 290
-42.57527542 -17.30788612 0 15 291
-54.99205780 -23.46508980 0 15 292
-53.43223572 -24.96289444 0 15 293
-50.61153412 -19.15855789 0 15 294
-49.20628357 -19.15195465 0 15 295
-56.11321640 -18.59001541 0 15 296
-36.11553955 11.25900745 0 15 297
-38.05726242 -1.63080823 0 15 298
-39.57358170 -15.64700794 0 15 299
-47.48242188 -20.41715622 0 15 300
-37.30768585 1.19553757 0 15 301
-38.59694672 9.52457047 0 15 302
-31.98980522 1.65973341 0 15 303
-39.56642532 10.87668800 0 15 304
-38.72224045 -10.24034309 0 15 305
-43.07923889 -24.20693207 0 15 306
-36.78049469 3.75641036 0 15 307
-29.71954346 9.24088955 0 15 308
-26.74133873 16.91445351 0 15 309
-36.56011200 11.37762451 0 15 310
-38.41835785 -2.78792357 0 15 311
-39.75878906 -19.29217720 0 15 312
-26.90051460 19.21887779 0 15 313
-56.06869125 -25.02440262 0 15 314
-37.38917923 -0.55712157 0 15 315
-30.46425629 4.96611452 0 15 316
-37.17150497 0.11195058 0 15 317
-34.59276581 14.03604126 0 15 318
-34.45804214 10.72010422 0 15 319
-17.88986397 17.17023849 0 15 320
-24.71836281 20.30683136 0 15 321
-35.50819778 12.93918800 0 15 322
-44.90011215 -16.70187569 0 15 323
-39.81110382 -10.30961227 0 15 324
-37.65869522 12.18766308 0 15 325
-41.93425369 -11.84122276 0 15 326
