# layer class subject_idx subject_id channel_idx channel_name value
conv1 Left 3 9 19 FC3 1.42686221e+04
conv1 Left 4 40 19 FC3 2.70869336e+04
conv1 Left 5 7 19 FC3 2.79833750e+04
conv1 Left 6 41 19 FC3 2.51314082e+04
conv1 Left 7 49 19 FC3 2.67333164e+04
conv1 Left 8 3 19 FC3 3.33356133e+04
conv1 Left 9 8 19 FC3 1.99247227e+04

conv1 Left 0 13 20 FC1 2.04763164e+04
conv1 Left 1 50 20 FC1 3.17883516e+04
conv1 Left 2 12 20 FC1 2.08394941e+04
conv1 Left 3 9 20 FC1 1.44333916e+04
conv1 Left 4 40 20 FC1 2.70307598e+04
conv1 Left 5 7 20 FC1 2.78519453e+04
conv1 Left 6 41 20 FC1 2.49777031e+04
conv1 Left 7 49 20 FC1 2.68095000e+04
conv1 Left 8 3 20 FC1 3.31979336e+04
conv1 Left 9 8 20 FC1 1.97824570e+04

conv1 Left 0 13 21 FCz 2.03272246e+04
conv1 Left 1 50 21 FCz 3.14596484e+04
conv1 Left 2 12 21 FCz 2.08276504e+04
conv1 Left 3 9 21 FCz 1.45323066e+04
conv1 Left 4 40 21 FCz 2.70602949e+04
conv1 Left 5 7 21 FCz 2.78860176e+04
conv1 Left 6 41 21 FCz 2.51120840e+04
conv1 Left 7 49 21 FCz 2.70649316e+04
conv1 Left 8 3 21 FCz 3.30736211e+04
conv1 Left 9 8 21 FCz 1.97296465e+04

conv1 Left 0 13 22 FC2 2.04979258e+04
conv1 Left 1 50 22 FC2 3.15314453e+04
conv1 Left 2 12 22 FC2 2.08828809e+04
conv1 Left 3 9 22 FC2 1.46106855e+04
conv1 Left 4 40 22 FC2 2.70926133e+04
conv1 Left 5 7 22 FC2 2.79136758e+04
conv1 Left 6 41 22 FC2 2.52510898e+04
conv1 Left 7 49 22 FC2 2.71843438e+04
conv1 Left 8 3 22 FC2 3.32270820e+04
conv1 Left 9 8 22 FC2 1.97751152e+04

conv1 Left 0 13 23 FC4 2.05112109e+04
conv1 Left 1 50 23 FC4 3.15937051e+04
conv1 Left 2 12 23 FC4 2.09801973e+04
